   Elapsed time	   ECG1	   ECG2
   hh:mm:ss.mmm	   (mV)	   (mV)
       4:00.000	 -0.610	  1.330
       4:00.008	 -0.420	  0.820
       4:00.016	 -0.260	  0.420
       4:00.023	 -0.140	  0.150
       4:00.031	 -0.080	 -0.030
       4:00.039	 -0.030	 -0.170
       4:00.047	 -0.030	 -0.240
       4:00.055	 -0.010	 -0.230
       4:00.063	  0.000	 -0.280
       4:00.070	 -0.010	 -0.310
       4:00.078	 -0.010	 -0.300
       4:00.086	  0.010	 -0.300
       4:00.094	  0.020	 -0.300
       4:00.102	  0.010	 -0.320
       4:00.109	  0.020	 -0.290
       4:00.117	  0.010	 -0.290
       4:00.125	  0.010	 -0.320
       4:00.133	  0.010	 -0.320
       4:00.141	  0.010	 -0.300
       4:00.148	  0.000	 -0.310
       4:00.156	  0.000	 -0.330
       4:00.164	 -0.020	 -0.310
       4:00.172	  0.000	 -0.320
       4:00.180	 -0.020	 -0.350
       4:00.188	 -0.020	 -0.360
       4:00.195	 -0.040	 -0.330
       4:00.203	 -0.030	 -0.330
       4:00.211	 -0.030	 -0.360
       4:00.219	 -0.040	 -0.360
       4:00.227	 -0.030	 -0.350
       4:00.234	 -0.010	 -0.350
       4:00.242	 -0.030	 -0.360
       4:00.250	 -0.010	 -0.340
       4:00.258	 -0.020	 -0.340
       4:00.266	 -0.020	 -0.370
       4:00.273	 -0.020	 -0.370
       4:00.281	 -0.030	 -0.340
       4:00.289	 -0.020	 -0.350
       4:00.297	 -0.020	 -0.350
       4:00.305	 -0.020	 -0.330
       4:00.313	 -0.030	 -0.330
       4:00.320	 -0.020	 -0.340
       4:00.328	 -0.020	 -0.350
       4:00.336	 -0.040	 -0.320
       4:00.344	 -0.020	 -0.320
       4:00.352	 -0.030	 -0.340
       4:00.359	 -0.020	 -0.330
       4:00.367	 -0.010	 -0.330
       4:00.375	 -0.020	 -0.340
       4:00.383	 -0.010	 -0.350
       4:00.391	 -0.010	 -0.320
       4:00.398	  0.000	 -0.320
       4:00.406	 -0.010	 -0.350
       4:00.414	  0.000	 -0.350
       4:00.422	 -0.010	 -0.330
       4:00.430	 -0.010	 -0.330
       4:00.438	 -0.010	 -0.360
       4:00.445	 -0.010	 -0.330
       4:00.453	 -0.010	 -0.320
       4:00.461	 -0.010	 -0.340
       4:00.469	 -0.020	 -0.360
       4:00.477	 -0.030	 -0.320
       4:00.484	 -0.010	 -0.320
       4:00.492	 -0.010	 -0.340
       4:00.500	 -0.020	 -0.330
       4:00.508	 -0.010	 -0.310
       4:00.516	 -0.020	 -0.330
       4:00.523	 -0.010	 -0.340
       4:00.531	 -0.020	 -0.310
       4:00.539	 -0.020	 -0.310
       4:00.547	 -0.020	 -0.330
       4:00.555	 -0.020	 -0.330
       4:00.563	 -0.010	 -0.310
       4:00.570	 -0.010	 -0.310
       4:00.578	  0.000	 -0.310
       4:00.586	  0.050	 -0.230
       4:00.594	  0.040	 -0.220
       4:00.602	  0.100	 -0.220
       4:00.609	  0.150	 -0.070
       4:00.617	  0.170	  0.100
       4:00.625	  0.150	  0.050
       4:00.633	  0.080	  0.080
       4:00.641	  0.030	 -0.010
       4:00.648	 -0.040	 -0.060
       4:00.656	 -0.060	 -0.110
       4:00.664	 -0.070	 -0.190
       4:00.672	 -0.060	 -0.300
       4:00.680	 -0.060	 -0.330
       4:00.688	 -0.070	 -0.360
       4:00.695	 -0.080	 -0.360
       4:00.703	 -0.090	 -0.380
       4:00.711	 -0.060	 -0.640
       4:00.719	  0.350	  0.200
       4:00.727	  0.670	  2.810
       4:00.734	 -0.650	  5.110
       4:00.742	 -1.800	  5.110
       4:00.750	 -1.770	  2.650
       4:00.758	 -1.200	 -0.680
       4:00.766	 -0.580	 -0.490
       4:00.773	 -0.210	 -0.340
       4:00.781	 -0.050	 -0.440
       4:00.789	 -0.040	 -0.490
       4:00.797	 -0.010	 -0.510
       4:00.805	  0.010	 -0.540
       4:00.813	  0.030	 -0.510
       4:00.820	  0.060	 -0.520
       4:00.828	  0.060	 -0.550
       4:00.836	  0.080	 -0.530
       4:00.844	  0.090	 -0.510
       4:00.852	  0.100	 -0.510
       4:00.859	  0.120	 -0.530
       4:00.867	  0.130	 -0.490
       4:00.875	  0.160	 -0.490
       4:00.883	  0.160	 -0.500
       4:00.891	  0.180	 -0.510
       4:00.898	  0.200	 -0.480
       4:00.906	  0.210	 -0.510
       4:00.914	  0.220	 -0.530
       4:00.922	  0.240	 -0.530
       4:00.930	  0.260	 -0.560
       4:00.938	  0.280	 -0.620
       4:00.945	  0.310	 -0.690
       4:00.953	  0.320	 -0.720
       4:00.961	  0.340	 -0.800
       4:00.969	  0.360	 -0.900
       4:00.977	  0.360	 -0.930
       4:00.984	  0.340	 -0.990
       4:00.992	  0.300	 -1.020
       4:01.000	  0.210	 -1.030
       4:01.008	  0.130	 -0.950
       4:01.016	  0.050	 -0.860
       4:01.023	 -0.010	 -0.770
       4:01.031	 -0.040	 -0.610
       4:01.039	 -0.040	 -0.500
       4:01.047	 -0.040	 -0.400
       4:01.055	 -0.050	 -0.340
       4:01.063	 -0.050	 -0.250
       4:01.070	 -0.040	 -0.210
       4:01.078	 -0.030	 -0.200
       4:01.086	 -0.030	 -0.170
       4:01.094	 -0.020	 -0.170
       4:01.102	 -0.010	 -0.170
       4:01.109	 -0.020	 -0.190
       4:01.117	 -0.020	 -0.160
       4:01.125	  0.000	 -0.160
       4:01.133	  0.000	 -0.190
       4:01.141	  0.000	 -0.200
       4:01.148	 -0.010	 -0.180
       4:01.156	  0.010	 -0.200
       4:01.164	 -0.010	 -0.210
       4:01.172	  0.020	 -0.190
       4:01.180	  0.020	 -0.190
       4:01.188	  0.020	 -0.210
       4:01.195	  0.010	 -0.220
       4:01.203	  0.000	 -0.200
       4:01.211	  0.020	 -0.220
       4:01.219	  0.000	 -0.250
       4:01.227	  0.000	 -0.220
       4:01.234	  0.000	 -0.220
       4:01.242	  0.010	 -0.250
       4:01.250	 -0.010	 -0.280
       4:01.258	 -0.020	 -0.260
       4:01.266	 -0.030	 -0.260
       4:01.273	 -0.010	 -0.290
       4:01.281	 -0.020	 -0.280
       4:01.289	 -0.030	 -0.260
       4:01.297	 -0.050	 -0.280
       4:01.305	 -0.040	 -0.300
       4:01.313	 -0.010	 -0.230
       4:01.320	  0.030	 -0.180
       4:01.328	  0.030	 -0.190
       4:01.336	  0.060	 -0.170
       4:01.344	  0.150	  0.070
       4:01.352	  0.080	  0.140
       4:01.359	  0.080	  0.100
       4:01.367	  0.010	  0.100
       4:01.375	 -0.070	  0.000
       4:01.383	 -0.140	 -0.060
       4:01.391	 -0.120	 -0.100
       4:01.398	 -0.130	 -0.190
       4:01.406	 -0.110	 -0.270
       4:01.414	 -0.140	 -0.300
       4:01.422	 -0.150	 -0.300
       4:01.430	 -0.130	 -0.260
       4:01.438	 -0.150	 -0.340
       4:01.445	 -0.020	 -0.420
       4:01.453	  0.320	  0.800
       4:01.461	  0.700	  3.740
       4:01.469	 -0.830	  5.110
       4:01.477	 -1.670	  4.940
       4:01.484	 -1.290	  1.110
       4:01.492	 -1.060	 -0.570
       4:01.500	 -0.580	 -0.590
       4:01.508	 -0.180	 -0.310
       4:01.516	 -0.100	 -0.390
       4:01.523	 -0.080	 -0.430
       4:01.531	 -0.080	 -0.450
       4:01.539	 -0.040	 -0.420
       4:01.547	 -0.020	 -0.450
       4:01.555	 -0.030	 -0.450
       4:01.563	 -0.010	 -0.420
