   Elapsed time	   ECG1	   ECG2
   hh:mm:ss.mmm	   (mV)	   (mV)
       6:00.000	  0.000	 -0.350
       6:00.008	  0.000	 -0.370
       6:00.016	  0.010	 -0.380
       6:00.023	  0.000	 -0.340
       6:00.031	  0.040	 -0.360
       6:00.039	  0.030	 -0.270
       6:00.047	  0.060	 -0.360
       6:00.055	  0.040	 -0.350
       6:00.063	  0.070	 -0.290
       6:00.070	  0.070	 -0.340
       6:00.078	  0.080	 -0.270
       6:00.086	  0.120	 -0.280
       6:00.094	  0.120	 -0.290
       6:00.102	  0.120	 -0.320
       6:00.109	  0.110	 -0.300
       6:00.117	  0.140	 -0.280
       6:00.125	  0.140	 -0.330
       6:00.133	  0.110	 -0.330
       6:00.141	  0.110	 -0.310
       6:00.148	  0.070	 -0.370
       6:00.156	  0.110	 -0.410
       6:00.164	  0.060	 -0.410
       6:00.172	  0.030	 -0.370
       6:00.180	  0.030	 -0.340
       6:00.188	  0.020	 -0.300
       6:00.195	  0.010	 -0.220
       6:00.203	  0.040	 -0.140
       6:00.211	  0.010	 -0.140
       6:00.219	  0.010	 -0.090
       6:00.227	  0.000	 -0.080
       6:00.234	 -0.010	 -0.130
       6:00.242	  0.010	 -0.160
       6:00.250	  0.010	 -0.060
       6:00.258	  0.010	 -0.160
       6:00.266	  0.050	 -0.160
       6:00.273	  0.030	 -0.150
       6:00.281	  0.000	 -0.150
       6:00.289	  0.030	 -0.200
       6:00.297	  0.030	 -0.200
       6:00.305	  0.020	 -0.160
       6:00.313	  0.030	 -0.160
       6:00.320	  0.060	 -0.210
       6:00.328	  0.010	 -0.200
       6:00.336	  0.020	 -0.160
       6:00.344	  0.040	 -0.200
       6:00.352	  0.040	 -0.200
       6:00.359	  0.040	 -0.190
       6:00.367	  0.030	 -0.150
       6:00.375	  0.020	 -0.250
       6:00.383	  0.020	 -0.230
       6:00.391	  0.000	 -0.200
       6:00.398	 -0.010	 -0.210
       6:00.406	  0.000	 -0.220
       6:00.414	 -0.020	 -0.190
       6:00.422	 -0.020	 -0.180
       6:00.430	  0.030	 -0.130
       6:00.438	  0.020	 -0.180
       6:00.445	  0.040	 -0.060
       6:00.453	  0.070	 -0.040
       6:00.461	  0.120	  0.100
       6:00.469	  0.130	  0.170
       6:00.477	  0.040	  0.200
       6:00.484	  0.040	  0.200
       6:00.492	 -0.050	 -0.010
       6:00.500	 -0.140	  0.010
       6:00.508	 -0.130	 -0.040
       6:00.516	 -0.100	 -0.120
       6:00.523	 -0.140	 -0.230
       6:00.531	 -0.140	 -0.220
       6:00.539	 -0.150	 -0.260
       6:00.547	 -0.120	 -0.260
       6:00.555	 -0.150	 -0.280
       6:00.563	 -0.040	 -0.350
       6:00.570	  0.250	  0.740
       6:00.578	  0.590	  3.640
       6:00.586	 -0.660	  5.110
       6:00.594	 -1.710	  4.990
       6:00.602	 -1.370	  1.130
       6:00.609	 -1.110	 -0.660
       6:00.617	 -0.660	 -0.520
       6:00.625	 -0.240	 -0.260
       6:00.633	 -0.070	 -0.350
       6:00.641	 -0.070	 -0.340
       6:00.648	 -0.030	 -0.350
       6:00.656	 -0.020	 -0.360
       6:00.664	 -0.010	 -0.370
       6:00.672	  0.010	 -0.340
       6:00.680	  0.020	 -0.350
       6:00.688	  0.020	 -0.380
       6:00.695	  0.020	 -0.330
       6:00.703	  0.050	 -0.300
       6:00.711	  0.040	 -0.310
       6:00.719	  0.080	 -0.260
       6:00.727	  0.070	 -0.320
       6:00.734	  0.130	 -0.270
       6:00.742	  0.110	 -0.270
       6:00.750	  0.120	 -0.240
       6:00.758	  0.150	 -0.240
       6:00.766	  0.200	 -0.260
       6:00.773	  0.200	 -0.260
       6:00.781	  0.210	 -0.240
       6:00.789	  0.220	 -0.250
       6:00.797	  0.200	 -0.260
       6:00.805	  0.190	 -0.270
       6:00.813	  0.170	 -0.300
       6:00.820	  0.170	 -0.320
       6:00.828	  0.130	 -0.350
       6:00.836	  0.090	 -0.280
       6:00.844	  0.080	 -0.280
       6:00.852	  0.050	 -0.200
       6:00.859	  0.050	 -0.180
       6:00.867	  0.020	 -0.120
       6:00.875	  0.000	 -0.100
       6:00.883	  0.010	 -0.100
       6:00.891	  0.000	 -0.080
       6:00.898	  0.020	 -0.080
       6:00.906	  0.010	 -0.100
       6:00.914	 -0.010	 -0.100
       6:00.922	  0.000	 -0.100
       6:00.930	  0.010	 -0.110
       6:00.938	  0.020	 -0.130
       6:00.945	  0.020	 -0.120
       6:00.953	  0.050	 -0.120
       6:00.961	  0.050	 -0.140
       6:00.969	  0.040	 -0.160
       6:00.977	  0.050	 -0.070
       6:00.984	  0.050	 -0.180
       6:00.992	  0.050	 -0.150
       6:01.000	  0.050	 -0.130
       6:01.008	  0.040	 -0.120
       6:01.016	  0.030	 -0.140
       6:01.023	  0.050	 -0.140
       6:01.031	  0.020	 -0.110
       6:01.039	  0.020	 -0.120
       6:01.047	  0.020	 -0.130
       6:01.055	  0.010	 -0.130
       6:01.063	  0.010	 -0.110
       6:01.070	  0.010	 -0.120
       6:01.078	  0.000	 -0.140
       6:01.086	  0.000	 -0.030
       6:01.094	  0.070	 -0.110
       6:01.102	  0.050	 -0.080
       6:01.109	  0.100	 -0.020
       6:01.117	  0.110	  0.040
       6:01.125	  0.180	  0.240
       6:01.133	  0.120	  0.200
       6:01.141	  0.060	  0.280
       6:01.148	  0.040	  0.230
       6:01.156	 -0.060	  0.080
       6:01.164	 -0.100	  0.070
       6:01.172	 -0.100	  0.070
       6:01.180	 -0.070	 -0.080
       6:01.188	 -0.100	 -0.170
       6:01.195	 -0.100	 -0.190
       6:01.203	 -0.080	 -0.150
       6:01.211	 -0.080	 -0.180
       6:01.219	 -0.080	 -0.270
       6:01.227	  0.100	 -0.310
       6:01.234	  0.500	  0.900
       6:01.242	  0.680	  4.160
       6:01.250	 -1.450	  5.110
       6:01.258	 -2.090	  5.110
       6:01.266	 -1.720	  1.130
       6:01.273	 -1.320	 -0.520
       6:01.281	 -0.480	 -0.370
       6:01.289	 -0.100	 -0.180
       6:01.297	 -0.010	 -0.250
       6:01.305	  0.010	 -0.360
       6:01.313	  0.050	 -0.300
       6:01.320	  0.070	 -0.310
       6:01.328	  0.090	 -0.290
       6:01.336	  0.090	 -0.320
       6:01.344	  0.100	 -0.290
       6:01.352	  0.120	 -0.290
       6:01.359	  0.120	 -0.310
       6:01.367	  0.140	 -0.270
       6:01.375	  0.150	 -0.250
       6:01.383	  0.170	 -0.260
       6:01.391	  0.180	 -0.250
       6:01.398	  0.190	 -0.210
       6:01.406	  0.220	 -0.170
       6:01.414	  0.230	 -0.280
       6:01.422	  0.260	 -0.210
       6:01.430	  0.280	 -0.220
       6:01.438	  0.300	 -0.250
       6:01.445	  0.310	 -0.260
       6:01.453	  0.310	 -0.260
       6:01.461	  0.310	 -0.270
       6:01.469	  0.290	 -0.310
       6:01.477	  0.250	 -0.340
       6:01.484	  0.230	 -0.360
       6:01.492	  0.180	 -0.360
       6:01.500	  0.140	 -0.340
       6:01.508	  0.100	 -0.260
       6:01.516	  0.070	 -0.180
       6:01.523	  0.050	 -0.080
       6:01.531	  0.040	 -0.120
       6:01.539	  0.050	 -0.020
       6:01.547	  0.040	 -0.030
       6:01.555	  0.040	 -0.050
       6:01.563	  0.050	 -0.020
       6:01.570	  0.040	 -0.010
       6:01.578	  0.050	 -0.070
       6:01.586	  0.050	 -0.040
       6:01.594	  0.040	 -0.030
       6:01.602	  0.050	 -0.050
       6:01.609	  0.040	 -0.080
       6:01.617	  0.030	 -0.060
       6:01.625	  0.050	 -0.080
       6:01.633	  0.060	 -0.080
       6:01.641	  0.090	 -0.120
       6:01.648	  0.080	 -0.110
       6:01.656	  0.080	 -0.110
       6:01.664	  0.100	 -0.130
       6:01.672	  0.090	 -0.120
       6:01.680	  0.110	 -0.120
       6:01.688	  0.100	 -0.140
       6:01.695	  0.090	 -0.160
       6:01.703	  0.090	 -0.130
       6:01.711	  0.080	 -0.130
       6:01.719	  0.080	 -0.130
       6:01.727	  0.060	 -0.130
       6:01.734	  0.070	 -0.110
       6:01.742	  0.040	 -0.080
       6:01.750	  0.050	 -0.130
       6:01.758	  0.100	 -0.030
       6:01.766	  0.070	 -0.030
       6:01.773	  0.130	  0.010
       6:01.781	  0.140	  0.050
       6:01.789	  0.210	  0.310
       6:01.797	  0.160	  0.260
       6:01.805	  0.090	  0.250
       6:01.813	  0.040	  0.220
       6:01.820	 -0.050	  0.110
       6:01.828	 -0.100	  0.070
       6:01.836	 -0.070	  0.030
       6:01.844	 -0.080	 -0.070
       6:01.852	 -0.060	 -0.160
       6:01.859	 -0.090	 -0.150
       6:01.867	 -0.070	 -0.210
       6:01.875	 -0.080	 -0.150
       6:01.883	 -0.060	 -0.220
       6:01.891	  0.070	 -0.400
       6:01.898	  0.440	  0.770
       6:01.906	  0.700	  4.000
       6:01.914	 -1.340	  5.110
       6:01.922	 -2.060	  5.070
       6:01.930	 -1.720	  1.210
       6:01.938	 -1.270	 -0.540
       6:01.945	 -0.460	 -0.340
       6:01.953	 -0.100	 -0.220
       6:01.961	 -0.010	 -0.260
       6:01.969	  0.010	 -0.300
       6:01.977	  0.030	 -0.320
       6:01.984	  0.060	 -0.280
       6:01.992	  0.070	 -0.290
       6:02.000	  0.080	 -0.300
       6:02.008	  0.080	 -0.290
       6:02.016	  0.100	 -0.270
       6:02.023	  0.100	 -0.260
       6:02.031	  0.130	 -0.300
       6:02.039	  0.110	 -0.250
       6:02.047	  0.140	 -0.270
       6:02.055	  0.160	 -0.270
       6:02.063	  0.170	 -0.250
       6:02.070	  0.170	 -0.270
       6:02.078	  0.230	 -0.260
       6:02.086	  0.230	 -0.280
       6:02.094	  0.230	 -0.250
       6:02.102	  0.270	 -0.260
       6:02.109	  0.270	 -0.300
       6:02.117	  0.260	 -0.340
       6:02.125	  0.250	 -0.320
       6:02.133	  0.240	 -0.330
       6:02.141	  0.210	 -0.370
       6:02.148	  0.180	 -0.380
       6:02.156	  0.150	 -0.370
       6:02.164	  0.120	 -0.350
       6:02.172	  0.070	 -0.310
       6:02.180	  0.070	 -0.200
       6:02.188	  0.060	 -0.150
       6:02.195	  0.040	 -0.090
       6:02.203	  0.050	 -0.080
       6:02.211	  0.040	 -0.050
       6:02.219	  0.060	 -0.050
       6:02.227	  0.050	 -0.080
       6:02.234	  0.050	 -0.060
       6:02.242	  0.060	 -0.060
       6:02.250	  0.050	 -0.070
       6:02.258	  0.040	 -0.110
       6:02.266	  0.030	 -0.060
       6:02.273	  0.030	 -0.100
       6:02.281	  0.040	 -0.120
       6:02.289	  0.020	 -0.080
       6:02.297	  0.070	 -0.130
       6:02.305	  0.050	 -0.130
       6:02.313	  0.070	 -0.150
       6:02.320	  0.060	 -0.130
       6:02.328	  0.070	 -0.130
       6:02.336	  0.080	 -0.150
       6:02.344	  0.070	 -0.170
       6:02.352	  0.070	 -0.150
       6:02.359	  0.070	 -0.190
       6:02.367	  0.080	 -0.200
       6:02.375	  0.050	 -0.170
       6:02.383	  0.080	 -0.190
       6:02.391	  0.070	 -0.200
       6:02.398	  0.050	 -0.200
       6:02.406	  0.040	 -0.120
       6:02.414	  0.040	 -0.210
       6:02.422	  0.030	 -0.210
       6:02.430	  0.020	 -0.190
       6:02.438	  0.040	 -0.160
       6:02.445	  0.070	 -0.110
       6:02.453	  0.070	 -0.140
       6:02.461	  0.080	 -0.050
       6:02.469	  0.120	 -0.030
       6:02.477	  0.210	  0.180
       6:02.484	  0.170	  0.210
       6:02.492	  0.080	  0.240
       6:02.500	  0.050	  0.180
       6:02.508	 -0.050	  0.040
       6:02.516	 -0.100	  0.130
       6:02.523	 -0.080	  0.000
       6:02.531	 -0.070	 -0.120
       6:02.539	 -0.060	 -0.220
       6:02.547	 -0.070	 -0.210
       6:02.555	 -0.070	 -0.210
       6:02.563	 -0.070	 -0.220
       6:02.570	 -0.080	 -0.220
       6:02.578	 -0.020	 -0.440
       6:02.586	  0.410	  0.530
       6:02.594	  0.640	  3.250
       6:02.602	 -0.690	  5.110
       6:02.609	 -2.030	  5.110
       6:02.617	 -1.930	  2.020
       6:02.625	 -1.270	 -0.750
       6:02.633	 -0.520	 -0.430
       6:02.641	 -0.160	 -0.240
       6:02.648	  0.020	 -0.330
       6:02.656	  0.010	 -0.360
       6:02.664	  0.040	 -0.360
       6:02.672	  0.070	 -0.370
       6:02.680	  0.070	 -0.390
       6:02.688	  0.080	 -0.350
       6:02.695	  0.100	 -0.340
       6:02.703	  0.110	 -0.370
       6:02.711	  0.100	 -0.340
       6:02.719	  0.120	 -0.320
       6:02.727	  0.120	 -0.360
       6:02.734	  0.150	 -0.340
       6:02.742	  0.140	 -0.300
       6:02.750	  0.150	 -0.310
       6:02.758	  0.170	 -0.310
       6:02.766	  0.190	 -0.300
       6:02.773	  0.190	 -0.300
       6:02.781	  0.210	 -0.330
       6:02.789	  0.240	 -0.330
       6:02.797	  0.220	 -0.310
       6:02.805	  0.260	 -0.370
       6:02.813	  0.220	 -0.380
       6:02.820	  0.220	 -0.400
       6:02.828	  0.180	 -0.410
       6:02.836	  0.160	 -0.410
       6:02.844	  0.140	 -0.480
       6:02.852	  0.100	 -0.440
       6:02.859	  0.100	 -0.370
       6:02.867	  0.060	 -0.340
       6:02.875	  0.050	 -0.270
       6:02.883	  0.050	 -0.170
       6:02.891	  0.050	 -0.140
       6:02.898	  0.060	 -0.110
       6:02.906	  0.050	 -0.110
       6:02.914	  0.050	 -0.100
       6:02.922	  0.060	 -0.120
       6:02.930	  0.050	 -0.130
       6:02.938	  0.050	 -0.100
       6:02.945	  0.050	 -0.040
       6:02.953	  0.060	 -0.170
       6:02.961	  0.050	 -0.140
       6:02.969	  0.060	 -0.130
       6:02.977	  0.060	 -0.170
       6:02.984	  0.070	 -0.180
       6:02.992	  0.070	 -0.150
       6:03.000	  0.080	 -0.150
       6:03.008	  0.090	 -0.180
       6:03.016	  0.090	 -0.190
       6:03.023	  0.090	 -0.170
